,요양기관명,종별코드명,시군구코드명,주소,전화번호,병원홈페이지,좌표(X),좌표(Y)
0,살루스한의원,한의원,부산연제구,"부산광역시 연제구 거제천로87번길 20, 2층 (거제동)",051-861-2201,,129.1314178,35.1714366
1,살루스한의원,한의원,부산해운대구,"부산광역시 해운대구 센텀동로 25, 상가B동 236호 (우동, 대우월드마크센텀아파트)",051-741-2203,,129.1314178,35.1714366
2,태흥당한의원,한의원,부산해운대구,"부산광역시 해운대구 세실로 75, 일진빌딩 4층 402호 (좌동)",051-701-1075,,129.1767685,35.1712912
3,태흥당한의원,한의원,부산연제구,"부산광역시 연제구 아시아드대로 79, 2층 (거제동)",051-507-3345,,129.1767685,35.1712912
4,태흥당한의원,한의원,부산금정구,"부산광역시 금정구 구서로 7, 2층 (구서동)",051-715-9475,,129.1767685,35.1712912
5,태흥당한의원,한의원,부산사하구,"부산광역시 사하구 낙동남로 1414, 삼영빌딩 2,3층 (하단동)",051-291-9188,,129.1767685,35.1712912
6,태흥당한의원,한의원,부산진구,"부산광역시 부산진구 중앙대로 808, 3층 (전포동, 금정빌딩)",051-714-1393,,129.1767685,35.1712912
7,더힘찬한의원,한의원,부산진구,"부산광역시 부산진구 시민공원로19번길 7, 3층 (부암동)",051-715-8600,,129.1759075,35.1724315
8,더힘찬한의원,한의원,부산해운대구,"부산광역시 해운대구 좌동로 98, 디베르비타 301호 (좌동)",051-703-1075,,129.1759075,35.1724315
9,더힘찬한의원,한의원,부산금정구,"부산광역시 금정구 구서로 14, 태명제1빌딩 2층 (구서동)",051-714-1358,,129.1759075,35.1724315
10,청담플러스의원,의원,부산해운대구,"부산광역시 해운대구 중동2로 16, 해운대온천센터 2층 일부호 (중동)",051-747-5647,,129.164556,35.1634328
11,마린한의원,한의원,부산해운대구,"부산광역시 해운대구 마린시티2로 2, 마린파크 714~5호 (우동)",051-747-5421,,129.1442096,35.15934
12,화이트이치과의원,치과의원,부산진구,"부산광역시 부산진구 중앙대로 694, 쥬디스태화 5층 501일부호 (부전동)",,,129.17504,35.1727024
13,화이트이치과의원,치과의원,부산해운대구,"부산광역시 해운대구 좌동로 93, 해운대농협 3층 (좌동)",051-710-2882,,129.17504,35.1727024
14,화이트이치과의원,치과의원,부산북구,"부산광역시 북구 만덕대로 11-1, 1, 2층 (덕천동)",051-710-2820,,129.17504,35.1727024
15,밝은마음병원,정신병원,부산해운대구,"부산광역시 해운대구 해운대로 575, 2~5층 (우동, 국제빌딩)",051-746-7272,,129.1543774,35.1615007
16,해운대센트럴내과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 650, 201동 301호 (우동)",051-714-0075,,129.1612447,35.164601
17,강정신건강의학과의원,의원,부산해운대구,"부산광역시 해운대구 양운로 82, 801호 (좌동, 화인크리닉)",051-701-2772,,129.1755732,35.1704651
18,강정신건강의학과의원,의원,부산진구,"부산광역시 부산진구 동평로 422, 6층 (양정동)",051-717-3886,,129.1755732,35.1704651
19,박혜경내과의원,의원,부산해운대구,"부산광역시 해운대구 센텀2로 10, 702호 (우동, 센텀메디컬센터)",051-731-7400,,129.1315304,35.1678325
20,해운대성심요양병원,요양병원,부산해운대구,"부산광역시 해운대구 좌동순환로 462, 지하1층-지상7층 (중동, 성심병원)",051-743-5555,,129.1719387,35.1622486
21,의료법인에벤에셀의료재단 아름다운요양병원,요양병원,부산해운대구,"부산광역시 해운대구 해운대로61번길 47, (재송동)",051-782-7400,,129.1240795,35.193865
22,아름다운피부과의원,의원,부산남구,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 202호 (용호동)",051-863-0075,,129.1766569,35.1691635
23,아름다운피부과의원,의원,부산사하구,"부산광역시 사하구 낙동대로 466, 5층 (하단동, 하단오피스)",051-204-8114,,129.1766569,35.1691635
24,아름다운피부과의원,의원,부산연제구,"부산광역시 연제구 월드컵대로 128, 행복한메디컬센타 4~5층 (연산동)",051-863-0655,,129.1766569,35.1691635
25,아름다운피부과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 802, 313호 (좌동, 웅신시네아트)",051-702-8575,,129.1766569,35.1691635
26,아름다운피부과의원,의원,부산기장군,"부산광역시 기장군 정관면 정관로 561, (정관읍)",051-728-8275,,129.1766569,35.1691635
27,누리사랑외과소아청소년과의원,의원,부산해운대구,"부산광역시 해운대구 해운대로 415, 3층 (우동)",051-747-7550,,129.1411817,35.1669113
28,좋은의원,의원,부산해운대구,"부산광역시 해운대구 아랫반송로 57, 2층 (반송동)",051-543-0360,,129.1509433,35.222804
