,요양기관명,시군구코드명,주소,전화번호,좌표(X),좌표(Y)
0,햇님약국,부산금정구,"부산광역시 금정구 중앙대로1685번길 15, 1층 (부곡동)",051-582-6119,129.1690227,35.1660473
1,햇님약국,부산해운대구,"부산광역시 해운대구 좌동순환로 502, 이룸제이타워 109호 (중동)",051-747-0881,129.1690227,35.1660473
2,파랑약국,부산해운대구,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 102호 (반여동)",051-526-8900,129.1195631,35.2021038
3,장산약국,부산해운대구,"부산광역시 해운대구 좌동순환로 174, 102,103호 (좌동)",051-702-0078,129.1750479,35.1776265
4,장산약국,부산해운대구,"부산광역시 해운대구 좌동순환로 174, 102,103호 (좌동)",051-702-0078,129.1217477,35.2059254
5,장산약국,부산해운대구,"부산광역시 해운대구 선수촌로 144, (반여동)",051-525-1811,129.1750479,35.1776265
6,장산약국,부산해운대구,"부산광역시 해운대구 선수촌로 144, (반여동)",051-525-1811,129.1217477,35.2059254
7,큰사랑약국,부산사하구,"부산광역시 사하구 다대로 317-1, (장림동)",051-263-1701,129.148721,35.2253256
8,큰사랑약국,부산사하구,"부산광역시 사하구 낙동대로 438, 1층 (당리동)",051-293-7488,129.148721,35.2253256
9,큰사랑약국,부산사상구,"부산광역시 사상구 백양대로 430, 120호 (주례동, 대성상가)",051-326-5890,129.148721,35.2253256
10,큰사랑약국,부산해운대구,"부산광역시 해운대구 아랫반송로23번길 5, 1층 (반송동)",051-542-2311,129.148721,35.2253256
11,큰사랑약국,부산기장군,"부산광역시 기장군 정관읍 정관로 569, 정관 제일타워 404호",051-727-9780,129.148721,35.2253256
12,부원약국,부산해운대구,"부산광역시 해운대구 선수촌로 102-2, 부원메디칼센타 2층 (반여동)",051-531-5310,129.1196159,35.2027865
13,송정약국,부산해운대구,"부산광역시 해운대구 송정중앙로 29, 뉴송정하우스 1층 (송정동)",051-703-4356,129.203961,35.1825649
14,우리약국,부산수영구,"부산광역시 수영구 광안로 4, 광안동에스케이뷰 106동 104호 (광안동)",051-751-7674,129.1620822,35.1630081
15,우리약국,부산수영구,"부산광역시 수영구 민락로6번길 31, 1층 (민락동)",051-753-3825,129.1620822,35.1630081
16,우리약국,부산사하구,"부산광역시 사하구 낙동대로 212, 1층 (괴정동)",051-202-2311,129.1620822,35.1630081
17,우리약국,부산금정구,"부산광역시 금정구 공단로 5, (금사동)",531-8458,129.1620822,35.1630081
18,우리약국,부산진구,"부산광역시 부산진구 당감로 47-2, 1층 (당감동)",051-895-6448,129.1620822,35.1630081
19,우리약국,부산동래구,"부산광역시 동래구 사직북로 16, 1층 일부호 (사직동)",051-506-7933,129.1620822,35.1630081
20,우리약국,부산동구,"부산광역시 동구 중앙대로286번길 3, 1층 (초량동)",051-466-0940,129.1620822,35.1630081
21,우리약국,부산동래구,"부산광역시 동래구 아시아드대로 224, 1층 일부호 (온천동)",051-503-5115,129.1620822,35.1630081
22,우리약국,부산수영구,"부산광역시 수영구 황령산로8번길 54, (남천동)",051-612-6500,129.1620822,35.1630081
23,우리약국,부산해운대구,"부산광역시 해운대구 중동1로 26, (중동)",051-741-5554,129.1620822,35.1630081
24,우리약국,부산남구,"부산광역시 남구 수영로266번길 37, 109호 (대연동, 우성2)",627-6315,129.1620822,35.1630081
25,우리약국,부산수영구,"부산광역시 수영구 구락로 69, (망미동)",051-756-0265,129.1620822,35.1630081
26,우리약국,부산기장군,"부산광역시 기장군 정관읍 정관로 561, 정관타워 107호",051-728-7144,129.1620822,35.1630081
27,우리약국,부산북구,"부산광역시 북구 화명대로 42, (화명동)",051-333-5171,129.1620822,35.1630081
28,우리약국,부산서구,"부산광역시 서구 까치고개로 216, (아미동1가)",051-243-6900,129.1620822,35.1630081
29,우리약국,부산사상구,"부산광역시 사상구 새벽로 166, 1층 (감전동)",051-317-0997,129.1620822,35.1630081
30,우리약국,부산진구,"부산광역시 부산진구 범일로 186, 1층 (범천동)",051-637-9277,129.1620822,35.1630081
31,우리약국,부산남구,"부산광역시 남구 용호로 154, 2층 (용호동, 용호메디칼센타)",621-7227,129.1620822,35.1630081
32,화목2층약국,부산해운대구,"부산광역시 해운대구 세실로 64, 2층 201-2호 (좌동, 화목데파트)",051-701-8608,129.177663,35.1709808
33,굿모닝약국,부산동래구,"부산광역시 동래구 충렬대로 353, (안락동, 1층 일부)",070-8829-7775,129.1303218,35.1923322
34,굿모닝약국,부산금정구,"부산광역시 금정구 서동로 168, 송월빌딩 1층 102호 (서동)",051-757-5252,129.1303218,35.1923322
35,굿모닝약국,부산해운대구,"부산광역시 해운대구 재송2로 31, (재송동)",051-783-5775,129.1303218,35.1923322
36,굿모닝약국,부산중구,"부산광역시 중구 흑교로52번길 6-1, 1층 (보수동1가)",051-253-1963,129.1303218,35.1923322
37,동부약국,부산해운대구,"부산광역시 해운대구 재반로 153, (재송동)",051-783-4285,129.1279705,35.1917989
38,바른약국,부산사하구,"부산광역시 사하구 사하로 201, 1층 (괴정동)",051-203-0406,129.1614624,35.1636295
39,바른약국,부산진구,"부산광역시 부산진구 새싹로 201, 1층 (초읍동)",051-791-2215,129.1614624,35.1636295
40,바른약국,부산남구,"부산광역시 남구 우암로 134, 삼진빌딩 1층 (감만동)",051-939-7380,129.1614624,35.1636295
41,바른약국,부산동래구,"부산광역시 동래구 충렬대로 252, 101호 (수안동)",,129.1614624,35.1636295
42,바른약국,부산기장군,"부산광역시 기장군 장안읍 해맞이로 9, 1층",051-727-5123,129.1614624,35.1636295
43,바른약국,부산해운대구,"부산광역시 해운대구 중동1로 15-3, 1층 (우동)",051-711-9070,129.1614624,35.1636295
44,바른약국,부산진구,"부산광역시 부산진구 중앙대로 801, 102호 (부전동)",051-816-9888,129.1614624,35.1636295
45,바른약국,부산북구,"부산광역시 북구 사상로 599, (구포동)",051-301-7502,129.1614624,35.1636295
46,바른약국,부산사하구,"부산광역시 사하구 다대로 263, 109호 (장림동)",051-264-2356,129.1614624,35.1636295
47,바른약국,부산사하구,"부산광역시 사하구 다대로 544, 진요빌딩 106-1호 (다대동)",051-265-8911,129.1614624,35.1636295
48,바른약국,부산동구,"부산광역시 동구 고관로 126, 1층 (수정동)",051-710-5512,129.1614624,35.1636295
49,바른약국,부산연제구,"부산광역시 연제구 월드컵대로 186, (거제동)",051-865-1650,129.1614624,35.1636295
